Time (s) Run #10,Position (m) Run #10,Time (s) Run #9,Position (m) Run #9,Time (s) Run #8,Position (m) Run #8,Time (s) Run #7,Position (m) Run #7,Time (s) Run #6,Position (m) Run #6,Time (s) Run #5,Position (m) Run #5,Time (s) Run #4,Position (m) Run #4,Time (s) Run #3,Position (m) Run #3,Time (s) Run #2,Position (m) Run #2,Time (s) Run #1,Position (m) Run #1
0.0,0.89,0.0,0.89,0.0,1.23,0.0,1.18,0.0,1.17,0.0,1.48,0.0,0.92,0.0,0.96,0.0,1.06,0.0,1.14
0.02,0.89,0.02,0.87,0.02,1.18,0.02,1.17,0.02,1.15,0.02,1.49,0.02,0.92,0.02,0.86,0.02,1.04,0.02,1.15
0.04,0.88,0.04,0.85,0.04,1.23,0.04,1.18,0.04,1.14,0.04,1.47,0.04,0.89,0.04,0.88,0.04,1.02,0.04,1.15
0.06,0.89,0.06,0.82,0.06,1.18,0.06,1.17,0.06,1.12,0.06,1.46,0.06,0.86,0.06,0.82,0.06,0.99,0.06,1.14
0.08,0.9,0.08,0.83,0.08,1.18,0.08,1.16,0.08,1.1,0.08,1.44,0.08,0.83,0.08,0.76,0.08,1.01,0.08,1.11
0.1,0.88,0.1,0.8,0.1,1.2,0.1,1.14,0.1,1.08,0.1,1.41,0.1,0.8,0.1,0.71,0.1,0.96,0.1,1.09
0.12,0.84,0.12,0.77,0.12,1.18,0.12,1.12,0.12,1.06,0.12,1.39,0.12,0.76,0.12,0.71,0.12,0.93,0.12,1.08
0.14,0.82,0.14,0.74,0.14,1.17,0.14,1.1,0.14,1.03,0.14,1.37,0.14,0.72,0.14,0.63,0.14,0.88,0.14,1.05
0.16,0.81,0.16,0.71,0.16,1.15,0.16,1.07,0.16,1.01,0.16,1.34,0.16,0.68,0.16,0.59,0.16,0.84,0.16,1.02
0.18,0.79,0.18,0.68,0.18,1.13,0.18,1.05,0.18,0.98,0.18,1.31,0.18,0.64,0.18,0.54,0.18,0.8,0.18,0.99
0.2,0.8,0.2,0.65,0.2,1.12,0.2,1.02,0.2,0.95,0.2,1.28,0.2,0.6,0.2,0.48,0.2,0.77,0.2,0.95
0.22,0.76,0.22,0.62,0.22,1.1,0.22,1.0,0.22,0.92,0.22,1.25,0.22,0.56,0.22,0.43,0.22,0.73,0.22,0.92
0.24,0.74,0.24,0.59,0.24,1.07,0.24,0.97,0.24,0.89,0.24,1.22,0.24,0.51,0.24,0.38,0.24,0.68,0.24,0.9
0.26,0.72,0.26,0.57,0.26,1.05,0.26,0.94,0.26,0.86,0.26,1.18,0.26,0.47,0.26,0.34,0.26,0.64,0.26,0.86
0.28,0.71,0.28,0.54,0.28,1.03,0.28,0.9,0.28,0.83,0.28,1.15,0.28,0.43,0.28,0.27,0.28,0.59,0.28,0.82
0.3,0.69,0.3,0.51,0.3,0.99,0.3,0.87,0.3,0.78,0.3,1.11,0.3,0.38,0.3,0.22,0.3,0.55,0.3,0.79
0.32,0.67,0.32,0.48,0.32,0.97,0.32,0.84,0.32,0.8,0.32,1.06,0.32,0.34,0.32,0.16,0.32,0.5,0.32,0.73
0.34,0.65,0.34,0.49,0.34,0.94,0.34,0.81,0.34,0.72,0.34,1.07,0.34,0.29,0.34,0.12,0.34,0.44,0.34,0.69
0.36,0.63,0.36,0.42,0.36,0.91,0.36,0.77,0.36,0.68,0.36,0.99,0.36,0.24,0.36,0.0,0.36,0.39,0.36,0.64
0.38,0.61,0.38,0.39,0.38,0.89,0.38,0.73,0.38,0.64,0.38,0.94,0.38,0.19,,,0.38,0.35,0.38,0.59
0.4,0.59,0.4,0.36,0.4,0.86,0.4,0.7,0.4,0.6,0.4,0.9,0.4,0.13,,,0.4,0.29,0.4,0.54
0.42,0.57,0.42,0.33,0.42,0.83,0.42,0.66,0.42,0.56,0.42,0.85,0.42,0.12,,,0.42,0.23,0.42,0.49
0.44,0.55,0.44,0.3,0.44,0.8,0.44,0.63,0.44,0.52,0.44,0.81,0.44,0.09,,,0.44,0.18,0.44,0.43
0.46,0.53,0.46,0.27,0.46,0.77,0.46,0.58,0.46,0.47,0.46,0.77,,,,,0.46,0.12,0.46,0.4
0.48,0.51,0.48,0.24,0.48,0.73,0.48,0.54,0.48,0.43,0.48,0.72,,,,,0.48,0.13,0.48,0.33
0.5,0.49,0.5,0.21,0.5,0.7,0.5,0.5,0.5,0.39,0.5,0.66,,,,,0.5,0.13,0.5,0.27
0.52,0.47,0.52,0.17,0.52,0.67,0.52,0.46,0.52,0.34,0.52,0.61,,,,,0.52,0.0,0.52,0.21
0.54,0.45,0.54,0.14,0.54,0.64,0.54,0.41,0.54,0.3,0.54,0.56,,,,,,,0.54,0.16
0.56,0.43,0.56,0.12,0.56,0.6,0.56,0.37,0.56,0.25,0.56,0.51,,,,,,,0.56,0.12
0.58,0.41,,,0.58,0.56,0.58,0.33,0.58,0.21,0.58,0.46,,,,,,,0.58,0.12
0.6,0.4,,,0.6,0.53,0.6,0.29,0.6,0.16,0.6,0.41,,,,,,,0.6,0.13
0.62,0.38,,,0.62,0.49,0.62,0.25,0.62,0.12,0.62,0.36,,,,,,,0.62,0.0
0.64,0.36,,,0.64,0.46,0.64,0.2,0.64,0.12,0.64,0.31,,,,,,,,
0.66,0.34,,,0.66,0.42,0.66,0.16,0.66,0.15,0.66,0.26,,,,,,,,
0.68,0.32,,,0.68,0.39,0.68,0.12,0.68,0.15,0.68,0.21,,,,,,,,
0.7,0.3,,,0.7,0.35,0.7,0.12,0.7,0.0,0.7,0.15,,,,,,,,
0.72,0.28,,,0.72,0.31,0.72,0.1,,,0.72,0.12,,,,,,,,
0.74,0.26,,,0.74,0.27,,,,,0.74,0.12,,,,,,,,
0.76,0.24,,,0.76,0.24,,,,,0.76,0.0,,,,,,,,
0.78,0.21,,,0.78,0.2,,,,,,,,,,,,,,
0.8,0.19,,,0.8,0.16,,,,,,,,,,,,,,
0.82,0.17,,,0.82,0.12,,,,,,,,,,,,,,
0.84,0.15,,,,,,,,,,,,,,,,,,
0.86,0.14,,,,,,,,,,,,,,,,,,
0.88,0.13,,,,,,,,,,,,,,,,,,
0.9,0.11,,,,,,,,,,,,,,,,,,
